Date,Day,W/H,Description
01-01-2021,Friday,H,New Year's Day
02-01-2021,Saturday,H,
03-01-2021,Sunday,H,
04-01-2021,Monday,W,
05-01-2021,Tuesday,W,
06-01-2021,Wednesday,W,
07-01-2021,Thursday,W,
08-01-2021,Friday,W,
09-01-2021,Saturday,H,
10-01-2021,Sunday,H,
11-01-2021,Monday,W,
12-01-2021,Tuesday,W,
13-01-2021,Wednesday,H,Lohri
14-01-2021,Thursday,H,Pongal
15-01-2021,Friday,W,
16-01-2021,Saturday,H,
17-01-2021,Sunday,H,
18-01-2021,Monday,W,
19-01-2021,Tuesday,W,
20-01-2021,Wednesday,W,
21-01-2021,Thursday,W,
22-01-2021,Friday,W,
23-01-2021,Saturday,H,
24-01-2021,Sunday,H,
25-01-2021,Monday,H,Republic Day
26-01-2021,Tuesday,W,
27-01-2021,Wednesday,W,
28-01-2021,Thursday,W,
29-01-2021,Friday,W,
30-01-2021,Saturday,H,
31-01-2021,Sunday,H,
01-02-2021,Monday,W,
02-02-2021,Tuesday,W,
03-02-2021,Wednesday,W,
04-02-2021,Thursday,W,
05-02-2021,Friday,W,
06-02-2021,Saturday,H,
07-02-2021,Sunday,H,
08-02-2021,Monday,W,
09-02-2021,Tuesday,W,
10-02-2021,Wednesday,W,
11-02-2021,Thursday,W,
12-02-2021,Friday,W,
13-02-2021,Saturday,H,
14-02-2021,Sunday,H,
15-02-2021,Monday,W,
16-02-2021,Tuesday,W,
17-02-2021,Wednesday,W,
18-02-2021,Thursday,W,
19-02-2021,Friday,W,
20-02-2021,Saturday,H,
21-02-2021,Sunday,H,
22-02-2021,Monday,W,
23-02-2021,Tuesday,W,
24-02-2021,Wednesday,W,
25-02-2021,Thursday,W,
26-02-2021,Friday,W,
27-02-2021,Saturday,H,
28-02-2021,Sunday,H,
01-03-2021,Monday,W,
02-03-2021,Tuesday,W,
03-03-2021,Wednesday,W,
04-03-2021,Thursday,W,
05-03-2021,Friday,W,
06-03-2021,Saturday,H,
07-03-2021,Sunday,H,
08-03-2021,Monday,W,
09-03-2021,Tuesday,W,
10-03-2021,Wednesday,W,
11-03-2021,Thursday,H,Maha Shivaratri
12-03-2021,Friday,W,
13-03-2021,Saturday,H,
14-03-2021,Sunday,H,
15-03-2021,Monday,W,
